placa;modelo;linea;motor;cilindraje;marca_id;created_at;updated_at;cantidad_aceite_motor;marca_aceite;tipo_aceite;filtro_aceite;filtro_aire;cantidad_aceite_cc;marca_cc;tipo_aceite_cc;filtro_aceite_cc;filtro_de_enfriador;tipo_caja;cantidad_aceite_diferencial;marca_aceite_d;tipo_aceite_d;cant_aceite_transfer;marca_aceite_t;tipo_aceite_t;filtro_cabina;filtro_diesel;contra_filtro_diesel;candelas;pastillas_delanteras;pastillas_traseras;fajas;aceite_hidraulico
P421JBL;XX;CRV;XX;XX;18;X;X;GARRAFA;MAXLIFE;10W30;PH2867;CA10344;XX;CASTROLATF;X;X;X;X;XX;X;X;GALON;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P505JHB;XX;CRV;X;XX;18;X;X;5LITROS;MAXLIFE;10W30BARRIL;PH2867;CA10344;XX;MAXLIFEATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;XX;X;XX;X;X;X;X;X;X
P441JHB;2009;CRV;2.4;XX;18;X;X;1GARRAFA;MAXLIFE;20W50;PH2867;CA10344;XX;CASTROLATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P539JWF;XX;CRV;XX;XX;18;X;X;4.5LITROS;MAXLIFEBARRIL;10W30;PH2867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10135;X;XX;X;X;X;X;X;X
P782KCZ;XX;CRV;X;XX;18;X;X;4.5LITROS;MAXLIFE;10W30;PH2867;CA10344;XX;CASTROLATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;CF10134;X;X;X;X;X;X;X;X
P405KJD;2010;CRV;XX;XX;18;X;X;5LITROS;MOTUL;10W30;PH2867;CA10885;X;CASTROLATF;X;X;X;X;XX;X;X;1GALON;FT5RL003;CF10134;X;XX;X;X;X;X;X;X
P856JXJ;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA10344;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P714KCZ;XX;CRV;XX;XX;18;X;X;5LITROS;MAXLIFE;10W30BARRIL;PH2867;CA10885;XX;MAXLIFEATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;XX;X;XX;X;X;X;X;X;X
P635GLV;XX;CRV;XX;XX;18;X;X;XX;XX;XX;XX;XX;XX;CASTROLATF;X;X;X;X;XX;X;X;5LITROS;FTR5L003;X;X;XX;X;X;X;X;X;X
P636HSS;2007;CRV;2.4;XX;18;X;X;5LITROS;GTXBARRIL;20W50;PH2867;CA10344;XX;XX;X;X;X;X;XX;X;X;XX;XX;K1326;X;XX;X;X;X;X;X;X
P554JJD;XX;CRV;2.4;XX;18;X;X;5LTSBARRIL;MOTUL;20W50;PH2867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P671JGZ;XX;CRV;XX;XX;18;X;X;1GARRAFA;EUROL;10W30;XX;XX;XXX;XX;X;X;X;X;XXX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P817JZH;XX;CRV;XX;XX;18;X;X;5LITROS;MAXLIFEBARRIL;10W30;PH2867;CA10344;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P331FQP;2004;CRV;2.4;XX;18;X;X;5LITROS;GTXBARRIL;20W50;PH2867;CA9493;XX;CASTROLATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;XX;X;XX;X;X;X;X;X;X
P815HZL;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;5W30;PH2867;CA10344;XX;CASTROLATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P878GSJ;2004;CRV;2.4;4;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;CA9493;XX;CASTROLATF;X;X;X;X;SOLOAGENCIA;X;X;4LTOS.APROX.;FTR5L003;CF10135;X;XX;X;X;X;X;X;X
P626KJD;2007;CRV;2.4;4;18;X;X;1GARRAFA;CASTROLMAG.;10W30;PH2867;CA10344;X;ATFMAXLIFE;X;X;X;X;SOLOAGENCIA;X;X;4LTOS.APROX.;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P973FQF;XX;CRV;XX;XX;18;X;X;5LITROS;MAXLIFEBARRIL;10W30;PH2867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;X;XX;X;XX;X;X;X;X;X;X
P933JGX;2007;CRV;2.4;XX;18;X;X;5LITROS;MAXLIFEBARRIL;10W30;PH2867;CA10344;XX;X;X;X;X;X;XX;X;X;XXX;XX;CF10134;X;XX;X;X;X;X;X;X
P089JNK;XX;CRV;XX;XX;18;X;X;4.5LITROS;MAXLIFEBARRIL;10W30;PH2867;CA10885;XX;XX;X;X;X;X;XX;X;X;XXX;XX;CF10134;X;XX;X;X;X;X;X;X
P853JZH;XX;CRV;XX;XX;18;X;X;5LITROS;MAGNATEC;10W40;PH2867;CA10344;XX;XX;X;X;X;X;XX;X;X;XXX;XX;CF10134;X;XX;X;X;X;X;X;X
P377JBK;XX;CRV;XXX;XX;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA11258;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P635JHB;XX;CRV;XX;XX;18;X;X;5.5LITROS;QUAKER;10W30;PH2867;CA10344;XX;XX;X;X;X;X;XX;X;X;XX;X;CF10134;X;XX;X;X;X;X;X;X
P914GNV;XX;CRV;XX;XX;18;X;X;5LITROS;MAXLIFEBARRIL;10W30;PH2867;CA9493;XX;MAXLIFEATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;CF10135;X;XX;X;X;X;X;X;X
P370JMR;2016;CRV;XX;XX;18;X;X;XX;XX;XX;PH2867;CA11945;XX;XX;X;X;X;X;X;X;X;XX;XXX;CF10134;X;XX;X;X;X;X;X;X
P091JFJ;XX;CRV;XX;X;18;X;X;1GARRAFA;MAGNATEC;10W30;PH2867;XX;XX;XX;X;X;X;X;X;X;X;X;XX;X;X;XX;X;X;X;X;X;X
P438JXY;XX;CRV;XX;X;18;X;X;1GARRAFA;QUAKERFULL;0W20;PH2867;PAB12050;XX;XX;X;X;X;X;MF1064MF1065;X;X;XX;XX;CF10140;X;XX;X;X;X;X;X;X
P447FWT;XX;CRV;XX;XX;18;X;X;5LITROS;GTXBARRIL;20W50;PH2867;XX;XX;CASTROLATF;X;X;X;X;X;X;X;1GALON;FTR5L003;XX;X;X;X;X;X;X;X;X
P456HZL;2014;CRV;2.4;XX;18;X;X;1GARRAFA;MAGNATEC;20W50;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;X;X;XX;X;X;X;X;X;X
P163FRH;XX;CRV;XXX;XX;18;X;X;1GARRAFA;MAGNATEC;20W50;PH2867;CA7764;XX;X;X;X;X;X;XX;X;X;XX;X;XX;X;XX;X;X;X;X;X;X
P404JQP;XX;CRV;XX;XX;18;X;X;5LITROS;MAGANTEC;10W40;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XXX;XX;XX;X;XX;X;X;X;X;X;X
P852JGZ;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;CA9493;XX;X;X;X;X;X;XX;X;X;XX;XX;CF10135;X;XX;X;X;X;X;X;X
P089KMZ;2014;CRV;2.4;XX;18;X;X;1GARRAFA;QUAKER;0W20;PH2867;CA11258;XX;CASTROLATF;X;X;X;X;XX;X;X;5GLS;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P940JZJ;XX;CRV;XX;XX;18;X;X;1GARRAFA;HAVOLINE;20W50;PH2867;CA9493;XX;CASTROLATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;CF10135;X;XX;X;X;X;X;X;X
P363FVV;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAGNATEC;10W30;PH2867;CA9493;XX;X;X;X;X;X;XX;X;X;XX;X;X;X;XX;X;X;X;X;X;X
P236KMZ;XX;CRV;XX;XX;18;X;X;1GARRAFA;QUAKER;10W30;PH2867;CA10344;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P704JWF;2019;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;XX;XX;CASTROLCVT;X;X;X;X;X;X;X;1GARRAFA;XX;XX;X;XX;X;X;X;X;X;X
P503KJR;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA10885;XX;MAXLIFEATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P974KLC;XX;CRV;XX;X;18;X;X;XX;XX;X;XX;X;XX;CASTROLATF;X;X;X;X;X;X;X;1GALON;FTR5L003;XX;X;X;X;X;X;X;X;X
P687JMN;2012;CRV;XX;XX;18;X;X;1GARRAFA;QUAKER;5W20;PH2867;CA11258;X;XX;X;X;X;X;XX;X;X;X;X;XX;X;XX;X;X;X;X;X;X
P117JTG;XX;CRV;XX;X;18;X;X;5LITROS;MAGNATEC;10W40;PH2867;X;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P641JJD;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;CA10344;XX;X;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P615KLX;2012;CRV;2.4;XX;18;X;X;1GARRAFA;MAGNATEC;10W30;PH2867;CA10885;XX;XX;X;X;X;X;X;X;X;X;X;CF10134;X;XX;X;X;X;X;X;X
P304JTL;2011;CRV;2.4;XX;18;X;X;1GARRAFA;QUAKER;10W30;PH2867;CA10885;X;XX;X;X;X;X;XX;X;X;X;XX;CF10134;X;XX;X;X;X;X;X;X
P976GJK;XX;CRV;XX;XX;18;X;X;1GARRAFA;KENDALL;20W50;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P936JFH;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA10344;XX;CASTROLATF;X;X;X;X;XX;X;X;3GLS;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P454KCZ;2014;CRV;2.4;4;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;CA11258;XX;XX;X;X;X;X;DUAL;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P991GWK;1999;CRV;XX;XX;18;X;X;4.5LITROS;MOTULBARRIL;10W30;PH2808;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P250JBK;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;CA11945;X;CASTROLCVT;X;X;X;X;XX;X;X;GARRAFA;FT5LJ-003;CF10134;X;XX;X;X;X;X;X;X
P260JNM;XX;CRV;XX;XX;18;X;X;5LITROS;MOTULBARRIL;10W30;PH2867;CA10344;X;XX;X;X;X;X;XX;X;X;X;X;CF10134;X;XX;X;X;X;X;X;X
P302KLX;2006;CRV;XX;XXX;18;X;X;5LITROS;MOTULBARRIL;10W30;PH2867;CA9493;XX;X;X;X;X;X;X;X;X;XX;X;CF10135;X;XX;X;X;X;X;X;X
P865GCG;XX;CRV;XX;XX;18;X;X;1GARRAFA;QUAKER;20W50;PH2867;XX;XX;X;X;X;X;X;X;X;X;X;XX;X;X;XX;X;X;X;X;X;X
P547KVB;X;CRV;X;X;18;X;X;1GARRAFA;EUROL;10W30;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P237KMZ;2010;CRV;X;X;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;CA10885;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P413JBK;X;CRV;X;X;18;X;X;1GARRAFA;MAGNATEC;20W50;PH2867;CA9493;X;CASTROLATF;X;X;X;X;X;X;X;1GALON;FTR5L003;CF10135;X;X;X;X;X;X;X;X
P618JGV;X;CRV;X;X;18;X;X;5LITROS;MOTUL;10W30;PH2867;CA10344;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P919FNH;2000;CRV;X;X;18;X;X;4LITROS;MOTUL;10W30BARRIL;PH2808;CA7764;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P608JGX;X;CRV;X;X;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA10885;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P770KSC;2013;CRV;X;X;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA11258;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P599DHS;2007;CRV;X;X;18;X;X;5LITROS;MOTUL;10W30;PH2867;CA10344;X;XX;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P201GYW;X;CRV;X;X;18;X;X;5LITROS;MOTUL;10W30BARRIL;PH2867;CA10885;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P110KLD;X;CRV;X;X;18;X;X;4.5LITROS;EUROL;10W40;PH2867;CA11258;X;XX;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P929FWV;X;CRV;X;X;18;X;X;5LITROS;MOTUL;20W50BARRIL;PH2867;CA9493;X;XX;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P338JJZ;X;CRV;X;X;18;X;X;5LITROS;MOTULBARRIL;10W30;PH2867;X;X;CASTROLATF;X;X;X;X;X;X;X;6LITROS;FTR5L003;X;X;X;X;X;X;X;X;X
P687JNM;2012;CRV;2.4;4;18;X;X;1GARRAFA;QUAKERSINT.;5W20;PH2867;CA11258;X;MAXLIFEATF;X;X;X;X;X;X;X;1GALON;FTR5L003;X;X;X;X;X;X;X;X;X
P820JPT;2011;CRV;X;X;18;X;X;1GARRAFA;QUAKER;0W20;PH2867;CA10885;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P830KGW;X;CRV;X;X;18;X;X;X;X;X;X;X;X;CASTROLATF;X;X;X;X;X;X;X;3GLS;FTR5L003;X;X;X;X;X;X;X;X;X
P401JCX;X;CRV;X;X;18;X;X;1GARRAFA;EUROL;20W50;PH2867;CA9493;X;X;X;X;X;X;X;X;X;X;X;CF10135;X;X;X;X;X;X;X;X
P746KQK;X;CRV;X;X;18;X;X;4.5LITROS;MOTUL;20W50BARRIL;PH2867;CA9493;X;X;X;X;X;X;X;X;X;X;X;CDF10135;X;X;X;X;X;X;X;X
P693JXN;2006;CRV;2.4;X;18;X;X;1GARRAFA;MAGNATEC;10W30;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P951KSS;2013;CRV;2.4;X;18;X;X;1GARRAFA;QUAKERFULL;10W30;PH2867;CA11258;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P754KQK;X;CRV;X;X;18;X;X;5LITROS;MAXLIFE;10W30BARRIL;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P720KLX;X;CRV;X;X;18;X;X;1GARRAFA;MAXLIFE;5W20;PH2867;CA11258;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P775KSF;XX;CRV;2.4;4;18;X;X;5LTOS.BARRIL;MAXLIFE;10W30;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P601JGY;2007;CRV;2.4;4;18;X;X;GARRAFA;MAXLIFE;5W20;PH2867;CA10344;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P976KTF;X;CRV;X;X;18;X;X;1GARRAFA;QUAKER;5W20;PH2867;CA11945;X;CASTROLCVT;X;X;X;X;DUAL;X;X;1GARRAFA;25420-5LJ-003;CF10134;X;X;X;X;X;X;X;X
P385JCH;X;CRV;X;X;18;X;X;1GARRAFA;GTX;20W50;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;CF10135;X;X;X;X;X;X;X;X
P584JWF;2011;CRV;2.4;4;18;X;X;GARRAFA;VALV.SINT;10W30;PH2867;CA10885;MF743MF639;X;X;X;X;X;SOLOAGENCIA;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P437KSF;X;CRV;X;X;18;X;X;1GARRAFA;MAGNATEC;20W50;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P300HXB;2008;CRV;2.4;X;18;X;X;X;X;X;X;X;X;CASTROLATF;X;X;X;X;X;X;X;3GALONES;FTR5L003;CF10134;X;X;X;X;X;X;X;X
P153DMV;2008;CRV;2.4;4;18;X;X;GALON1LTO.;CASTROLMAG.;10W40;PH2867;CA10344;XX;MAXLIFEATF;X;X;X;X;SOLOAGENCIA;X;X;1GALON;FTR5L003;CF10134;X;XX;X;X;X;X;X;X
P030JXN;X;CRV;X;X;18;X;X;5LITROS;MAXLIFE;10W30;PH2867;CA10344;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P994GTP;2005;CRV;2.4;X;18;X;X;5LITROS;MOTUL;10W30;PH2867;CA9493;X;MAXLIFEATF;X;X;X;X;X;X;X;1GALON;FTR5L003;X;X;X;X;X;X;X;X;X
P600GDG;X;CRV;2.4;X;18;X;X;4LITROS;MOTUL;20W50;PH2867;CA7764;X;MAXLIFEATF;X;X;X;X;X;X;X;1GALON;X;CF10140;X;X;X;X;X;X;X;X
P907JXK;2.4;CRV;X;X;18;X;X;1GARRAFA;MAGNATEC;10W30;PH2867;CA10344;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P132KLK;2019;CRV;X;X;18;X;X;1GARRAFA;VALVOLINE;0W20;PH2867;CA12052;X;X;X;X;X;X;X;X;X;X;X;CF10285;X;X;X;X;X;X;X;X
P923KYG;X;CRV;2.4;X;18;X;X;1GARRAFA;QUAKERSINT;5W20;PH2867;CA11258;X;MAXLIFEATF;X;X;X;X;DUAL;X;X;1GALON;FTR5L-003;CF10134;X;X;X;X;X;X;X;X
P174JFJ;X;CRV;X;X;18;X;X;5LITROS;MOTUL;10W30;PH2867;CA10885;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P510K;2013;CRV;2.4;X;18;X;X;1GARRAFA;MAGNATEC;10W30;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P894LCN;X;CRV;X;X;18;X;X;1GARRAFA;QUAKERSINT;5W20;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P666KRX;2008;CRV;2.4;4;18;X;X;1GARRAFA;MAXLIFE;20W50;PH2867;CA10344;X;X;X;X;X;X;X;X;X;X;X;CF10134;X;X;X;X;X;X;X;X
P489KYG;XX;CRV;2.4;4;18;X;X;5LTOS.BARRIL;MAXLIFE;10W30;PH2867;CA9493;X;X;X;X;X;X;X;X;X;X;X;CF10135;X;X;X;X;X;X;X;X
P713KNX;2015;CRV;2.4;4;18;X;X;4.5LTOS.BARRIL;MOTUL;10W30;PH2867;CA11258;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P733KSF;X;CRV;X;X;18;X;X;5LITROS;MOTUL;10W30BARRIL;PH2867;CA10344;X;X;X;X;X;X;X;X;X;X;X;CF10134X;X;X;X;X;X;X;X;X
P733HXR;2008;CRV;2.4;X;18;X;X;5LITROS;MOTUL;10W30BARRIL;PH2867;X;X;CASTROLATF;X;X;X;X;X;X;X;1GALON;FTR5L003;CF10134;X;X;X;X;X;X;X;X
P621KZS;X;CRV;X;X;18;X;X;X;X;X;X;X;X;CASTROLATF;X;X;X;X;X;X;X;1GALON;FTR5L003;X;X;X;X;X;X;X;X;X
P777KGS;2010;CRV;2.4;X;18;X;X;X;X;X;X;X;X;CASTROLATF;X;X;X;X;X;X;X;2GALONS;FTR5L003;X;X;X;X;X;X;X;X;X
P75LGZ;2008;CRV;2.4;4;18;X;X;5LTOSBARRIL;MOTUL;10W30;PH2867;CA10344;X;CASTROLATF;X;X;X;X;DUAL;X;X;4GALONES;FTR5L003;CF10134;X;X;X;X;X;X;X;X
P745LGZ;2008;CRV;204;4;18;X;X;5LTOS;MOTUL;10W30;PH2867;CA10344;X;CASTROLATF;X;X;X;X;DUAL;X;X;4GALONES;FTR5L003;CF10134;X;X;X;X;X;X;X;X
P800KWM;2015;CRV;2.4;4;18;X;X;1GARRAFA;QUAKERSINT;5W20;PH2867;CA11258;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P576GYV;2004;CRV;2.4;XX;18;X;X;5LTOS;MAXLIFE;10W30;PH5867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P429KJT;XX;CRV;XX;XX;18;X;X;5LITROS;MOTUL;10W30BARRIL;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P120LJG;2011;CRV;XX;XX;18;X;X;XX;XX;XX;XX;XX;XX;CASTROLATF;X;X;X;X;XX;X;X;1GALON;FTR5L003;XX;X;XX;X;X;X;X;X;X
P763KQK;XX;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P198GXT;XX;CRV;XX;XX;18;X;X;1GARRAFA;QUAKERFULL;0W20;PH2867;CA11945;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10134;X;XX;X;X;X;X;X;X
P579FKY;2013;CRV;2.4;XX;18;X;X;5LITROS;MOTUL;10W30BARRIL;PH2867;PAB11258;NO;NO;X;X;X;X;NO;X;X;NO;NO;CF10134;X;NO;X;X;X;X;X;X
P819GRW;XX;CRV;2.4;XX;18;X;X;4.5LITROS;MOTUL;20W50BARRIL;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P934FQD;2002;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;20W50;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P125KXS;2006;CRV;XX;XX;18;X;X;1GARRAFA;MAGNATEC;20W50;PH2867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10135;X;XX;X;X;X;X;X;X
P527GWL;XX;CRV;XX;XX;18;X;X;1GL1LITRO;MAGNATEC;10W40;PH2867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10135;X;XX;X;X;X;X;X;X
P955GCG;2006;CRV;XX;XX;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF10135;X;XX;X;X;X;X;X;X
P048GMD;2005;CRVXL;2.44X2;4;18;X;X;1GL.(5);VALV.MAXLIFE;10W30;PH2867;PAB9493;X;MULTIVEHICULO;X;X;X;X;SOLOAGENCIA;X;X;4LTOS.;X;X;X;X;X;X;X;X;X;X
P958FJP;2006;ELEMENT;2.4;4;18;X;X;4.5LTOS.;QUAKER;20W50;PH2867;PAB9493;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P446GGB;2004;ELEMENT;2.4;4;18;X;X;4.5LTOS.;MOTUL;10W30;PH2867;PAB9493;X;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P879GDL;2003;ELEMENT;2.4;4;18;X;X;1GL.;SUPREME;20W50;PH2867;CA9493;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P785JVB;2004;ELEMENT;2.4;XX;18;X;X;5LITROS;MAXLIFEBARRIL;10W30;PH2867;CA9493;XX;CASTROLATF;X;X;X;X;XX;X;X;1GL;FT5RL003;CF10135;X;XX;X;X;X;X;X;X
P746GPR;X;ELEMENT;X;X;18;X;X;XX;X;X;X;X;X;CASTROLATF;X;X;X;X;X;X;X;1GALON;FTR5L003;X;X;X;X;X;X;X;X;X
P854FLS;X;ELEMENT;X;X;18;X;X;4.5LITROS;MOTUL;20W50BARRIL;PH2867;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P840FKB;2012;FIT;1.5;4;18;X;X;4.5LTOS.;CASTROLMAG.;10W30;PH2867;CA10650;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
P417FWT;2006;FIT;1.5;4;18;X;X;4LTOS.;QUAKERSEMI;5W20;PH2867;PAB10233;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P286HDR;XX;FIT;XX;XX;18;X;X;1GL.;VALV.MAXLIFE;5W20;PH2867;CA10720;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P065GVT;2010;FIT;1.5;4;18;X;X;1GL.;QUAKERFULL;10W30;PH2876;CA10650;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P986FYT;2008;FIT;1.5;4;18;X;X;1GL.(4);CASTROLMAG.;10W40;PH2867;CA10233;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P493HDR;2014;FIT;1.5;4;18;X;X;1GL.;QUAKERFULL;5W20;PH2876;CA10650;XX;ATFMAXLIFE;X;X;X;X;XX;X;X;4LTOS.;XX;XX;X;XX;X;X;X;X;X;X
P627GZZ;XX;FIT;XX;XX;18;X;X;1GL;QUAKERFULL;10W30;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P696HBG;XX;FIT;XX;XX;18;X;X;1GL;QUAKERFULLS.;5W20;PH2867;CA10233;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P867HSR;XX;FIT;XX;XX;18;X;X;4LTS;CASTROL;20W50;PH2867;XX;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P565HBG;2008;FIT;1.5;4;18;X;X;1GL.;VALV.MAXLIFE;5W20;PH2867;CA10233;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P033JBL;2010;FIT;1.5;4;18;X;X;1GL.;VALV.MAXLIFE;10W30;PH2867;CA10650;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P941JGX;XX;FIT;XX;4;18;X;X;1GARRAFA;KENDALL;10W30;PH2867;CA10233;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P156HLS;2009;FIT;XX;XX;18;X;X;1GARRAFA;QUAKERFULL;5W20;PH2867;CA10650;XX;XX;X;X;X;X;XX;X;X;XX;XX;XX;X;XX;X;X;X;X;X;X
P803GQW;XX;FIT;XX;XX;18;X;X;1GARRAFA;MAGNATEC;10W30;PH2876;CA10650;XX;XX;X;X;X;X;XX;X;X;XX;XX;CF11182;X;XX;X;X;X;X;X;X
P441FNT;2009;FIT;1.5;XX;18;X;X;1GARRAFA;MAXLIFE;10W30;PH2867;CA10650;XX;XX;X;X;X;X;X;X;X;XX;XX;CF11182;X;XX;X;X;X;X;X;X
